state,value
Alabama,344
Alaska,71
Arkansas,439
Arizona,651
California,5526
Colorado,634
Connecticut,460
Delaware,149
District of Columbia,9
Florida,3527
Georgia,768
Hawaii,91
Iowa,692
Idaho,149
Illinois,2462
Indiana,1464
Kansas,188
Kentucky,236
Louisiana,244
Maine,75
Maryland,285
Massachusetts,1710
Michigan,1737
Minnesota,910
Missouri,1362
Mississippi,143
Montana,361
North Carolina,934
North Dakota,115
Nebraska,396
New Hampshire,386
New Jersey,1829
New Mexico,332
Nevada,225
New York,1862
Ohio,1691
Oklahoma,214
Oregon,844
Pennsylvania,1934
Rhode Island,78
South Carolina,166
South Dakota,18
Tennessee,1417
Texas,2091
Utah,369
Virginia,408
Vermont,43
Washington,1839
Wisconsin,1562
West Virginia,41
Wyoming,15